what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698797598842
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1698797611620
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698797686046
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698797686154
started,bundle,org.eclipse.cdt.codan.ui,2.0.0.201109151620,"org.eclipse.cdt.codan.ui",1698797686689
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1698797839166
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1698797839370
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1698797839390
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1698797950692
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698797950910
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698797950948
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698798076333
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1698798086185
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698798132617
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1698798150499
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1698798152988
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201109151620,"org.eclipse.cdt.debug.core",1698798153036
started,bundle,org.eclipse.cdt.debug.ui,7.1.1.201109151620,"org.eclipse.cdt.debug.ui",1698798153036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798189289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798206721
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698798206738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1698798210705
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1698798212506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798214865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798220295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798226859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798273270
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698798273284
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798523790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798668861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798672495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798691245
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698798691335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798694825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798699813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798702185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798720103
error,log,,,"Unable to find view with id: org.eclipse.jdt.ui.PackageExplorer, when creating perspective org.eclipse.egit.ui.GitRepositoryExploring",1698798720123
opened,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1698798720268
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1698798720301
activated,perspective,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.GitRepositoryExploring",1698798720319
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698798720330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1698798720349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1698798720349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798720368
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798727169
activated,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1698798730048
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698798730084
closed,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1698798730101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798731768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798830547
activated,perspective,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.CPerspective",1698798836733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.closePerspective",1698798836765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798838546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798841134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1698798841134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1698798841134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798843040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798859861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798860709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798867907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798868553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798868651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798869234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798883625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798885126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798889460
error,log,,,"Unable to find view with id: org.eclipse.jdt.ui.PackageExplorer, when creating perspective org.eclipse.egit.ui.GitRepositoryExploring",1698798889468
opened,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1698798889501
activated,perspective,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.GitRepositoryExploring",1698798889514
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1698798889531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1698798889531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798889553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798895287
activated,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1698798897581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698798903829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1698798941042
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1698799039254
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1698799044266
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1698799044449
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1698799044608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698799137887
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewClone",1698799137893
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698799143823
closed,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1698799143838
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698799156981
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1698799164532
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698799164545
activated,perspective,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.CPerspective",1698799171864
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.closePerspective",1698799171915
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698799174499
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.TaskList",1698799181104
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.TaskList",1698799181127
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698799181743
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1698799182291
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.TaskList",1698799183354
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698799183780
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1698799186825
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698799187329
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1698799191583
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.TaskList",1698799192429
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698799193069
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.TaskList",1698799193962
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698799194599
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698799200533
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698799200546
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698799202241
closed,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1698799202241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698799209509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698799225136
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1698799225150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698799234110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698799248281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1698799248286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1698799248286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698799248790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1698799271858
